director_name,imdb_score,movie_facebook_likes
Bill Melendez,8.4,0
Catherine Owens,8.4,116
Quentin Tarantino,8.4,19000
,8.4,0.0
,8.4,0.0
Sam Mendes,8.4,22000
David Lean,8.4,11000
Chan-wook Park,8.4,43000
Marius A. Markevicius,8.4,0
James Cameron,8.4,18000
Mel Gibson,8.4,17000
Sergio Leone,8.4,12000
Robert Mulligan,8.4,15000
Richard Marquand,8.4,14000
Wolfgang Petersen,8.4,11000
Moustapha Akkad,8.4,0
Asghar Farhadi,8.4,48000
Jean-Pierre Jeunet,8.4,39000
,8.4,0.0
,8.4,0.0
Hayao Miyazaki,8.4,11000
Darren Aronofsky,8.4,38000
,8.4,0.0
Rakeysh Omprakash Mehra,8.4,0
Stanley Kubrick,8.4,37000
,8.4,0.0
Andrew Stanton,8.4,16000
S.S. Rajamouli,8.4,21000
Billy Wilder,8.3,10000
Curtis Hanson,8.3,11000
Stanley Kubrick,8.3,24000
Stanley Kramer,8.3,0
Billy Wilder,8.3,0
Michel Gondry,8.3,52000
Steve James,8.3,0
Quentin Tarantino,8.3,42000
George Roy Hill,8.3,0
Brian De Palma,8.3,19000
Oliver Hirschbiegel,8.3,14000
Steven Spielberg,8.3,0
Gus Van Sant,8.3,31000
Sut Jhally,8.3,110
Martin Scorsese,8.3,0
Stanley Donen,8.3,0
King Vidor,8.3,226
Lenny Abrahamson,8.3,72000
Pete Docter,8.3,27000
John Lasseter,8.3,0
,8.3,834.0
Guy Ritchie,8.3,27000
Charles Ferguson,8.3,0
Martin Scorsese,8.3,35000
Charles Ferguson,8.3,63000
Tony Kaye,8.3,570
John Sturges,8.3,8000
Terry Gilliam,8.3,14000
Guy Ritchie,8.3,27000
Lee Unkrich,8.3,30000
Milos Forman,8.3,16000
Christopher Nolan,8.3,15000
Justin Paul Miller,8.3,70
Thomas Vinterberg,8.3,60000
,8.3,18000.0
,8.3,17000.0
Clint Eastwood,8.3,10000
,8.3,0.0
Fritz Lang,8.3,12000
Pete Docter,8.3,118000
Juan José Campanella,8.2,33000
Sean Penn,8.2,76000
John Carpenter,8.2,23000
Ron Howard,8.2,29000
Guy Ritchie,8.2,21000
Denis Villeneuve,8.2,37000
Joshua Oppenheimer,8.2,20000
Victor Fleming,8.2,16000
Amal Al-Agroobi,8.2,54
Danny Boyle,8.2,21000
Alfred Hitchcock,8.2,0
Frank Capra,8.2,0
Joel Coen,8.2,35000
Martin Scorsese,8.2,138000
Martin Scorsese,8.2,11000
Hayao Miyazaki,8.2,13000
Ridley Scott,8.2,34000
Guillermo del Toro,8.2,27000
Gavin O'Connor,8.2,77000
Hideaki Anno,8.2,0
Hideaki Anno,8.2,0
Dean DeBlois,8.2,33000
,8.2,0.0
Frank Lotito,8.2,232
John McTiernan,8.2,25000
Joe Kenemore,8.2,460
,8.2,11000.0
,8.2,0.0
Andrew Stanton,8.2,11000
Michael Cimino,8.2,11000
Frank Capra,8.2,0
Anthony Russo,8.2,72000
David Lynch,8.2,9000
,8.2,6000.0
,8.2,526.0
David Lean,8.2,0
Ingmar Bergman,8.2,0
Elia Kazan,8.2,0
Clint Eastwood,8.2,28000
James McTeigue,8.2,48000
Rajkumar Hirani,8.2,349
Martin Scorsese,8.2,0
John G. Avildsen,8.1,0
,8.1,558.0
Ridley Scott,8.1,153000
David Sington,8.1,0
Kevin Macdonald,8.1,0
Wes Anderson,8.1,149000
Alejandro G. Iñárritu,8.1,11000
Lasse Hallström,8.1,115000
Oliver Stone,8.1,9000
Denis Villeneuve,8.1,86000
Stanley Kubrick,8.1,0
Rob Reiner,8.1,33000
Morten Tyldum,8.1,165000
Pete Docter,8.1,0
Jehane Noujaim,8.1,0
M. Night Shyamalan,8.1,14000
,8.1,16000.0
Frank Miller,8.1,13000
Richard Kelly,8.1,33000
James Cameron,8.1,13000
Andrei Tarkovsky,8.1,0
Michael Roemer,8.1,363
Tom McCarthy,8.1,80000
Thomas Vinterberg,8.1,5000
George Roy Hill,8.1,0
Clint Eastwood,8.1,14000
,8.1,0.0
Sharon Greytak,8.1,66
Terry George,8.1,12000
Victor Fleming,8.1,14000
Joseph Kosinski,8.1,1000
Richard Attenborough,8.1,12000
Fred Zinnemann,8.1,3000
Bernardo Bertolucci,8.1,0
Alejandro Amenábar,8.1,0
Tim Miller,8.1,117000
Rob Reiner,8.1,24000
Carl Theodor Dreyer,8.1,863
Paul Thomas Anderson,8.1,16000
Richard Brooks,8.1,0
Niels Arden Oplev,8.1,22
George Miller,8.1,191000
John Ford,8.1,0
Quentin Tarantino,8.1,13000
Bob Clark,8.1,18000
Sidney Lumet,8.1,17000
Harold Ramis,8.1,38000
Ron Howard,8.1,83000
Katsuhiro Ôtomo,8.1,0
Tate Taylor,8.1,75000
James Gunn,8.1,96000
Ethan Coen,8.1,21000
Richard Linklater,8.1,22000
Joss Whedon,8.1,123000
José Padilha,8.1,11000
Paul Greengrass,8.1,0
Gore Verbinski,8.1,10000
,8.1,0.0
Je-kyu Kang,8.1,0
Steven Spielberg,8.1,19000
Woody Allen,8.1,0
Joss Whedon,8.1,123000
Steve McQueen,8.1,83000
David Fincher,8.1,146000
William Wyler,8.1,0
Peter Weir,8.1,18000
Martin Scorsese,8.1,53000
Michael Wadleigh,8.1,0
Alejandro G. Iñárritu,8.1,190000
Darren Aronofsky,8.0,106000
Barry Levinson,8.0,12000
Edgar Wright,8.0,19000
William Friedkin,8.0,18000
Georg Wilhelm Pabst,8.0,926
Lance McDaniel,8.0,9
Martin McDonagh,8.0,32000
Terry Gilliam,8.0,16000
Billy Wilder,8.0,0
Oliver Stone,8.0,0
Ron Clements,8.0,0
Andrey Zvyagintsev,8.0,0
Ron Howard,8.0,0
Lars von Trier,8.0,0
Brad Bird,8.0,0
Julian Schnabel,8.0,13000
Steven Spielberg,8.0,21000
Martin Campbell,8.0,0
Martin Campbell,8.0,0
Sam Peckinpah,8.0,0
Edward Zwick,8.0,14000
Jean-Marc Vallée,8.0,65000
Jacques Perrin,8.0,1000
Franklin J. Schaffner,8.0,0
Tony Scott,8.0,15000
David Lynch,8.0,16000
Stephen Chbosky,8.0,131000
Steven Spielberg,8.0,15000
Norman Jewison,8.0,0
Kevin Costner,8.0,0
Peter Weir,8.0,23000
Robert Rossen,8.0,0
David Lynch,8.0,0
George A. Romero,8.0,0
Danny Boyle,8.0,13000
Spike Jonze,8.0,148000
Taylor Hackford,8.0,6000
Billy Bob Thornton,8.0,0
Michael Moore,8.0,0
Kristin Rizzo,8.0,199
Mel Brooks,8.0,14000
J.J. Abrams,8.0,19000
Karan Johar,8.0,27000
Sergio Leone,8.0,0
Walter Salles,8.0,0
Richard Linklater,8.0,92000
Robert Wise,8.0,15000
Terrence Malick,8.0,0
Richard Schenkman,8.0,46000
Michael Moore,8.0,4000
Gabriele Muccino,8.0,32000
Roman Polanski,8.0,13000
Brad Bird,8.0,10000
Quentin Tarantino,8.0,0
Paul Thomas Anderson,8.0,13000
Richard Brooks,8.0,0
Bruce Beresford,8.0,205
Joss Whedon,8.0,14000
George A. Romero,8.0,0
Richard Linklater,8.0,13000
David Lean,8.0,7000
D.W. Griffith,8.0,691
Tom Hooper,8.0,64000
Elia Kazan,8.0,5000
Vincent Paronnaud,8.0,14000
Clint Eastwood,8.0,12000
Neill Blomkamp,8.0,22000
Bryan Singer,8.0,82000
Brad Bird,8.0,0
Tim Burton,8.0,26000
Frank Capra,8.0,0
Ari Folman,8.0,0
Ang Lee,8.0,122000
Lauren Lazin,8.0,0
Michel Hazanavicius,8.0,30000
John Schlesinger,7.9,0
Paul Greengrass,7.9,65000
Jonathan Dayton,7.9,15000
,7.9,0.0
Richard Linklater,7.9,62000
Richard Brooks,7.9,808
David O. Russell,7.9,36000
Yash Chopra,7.9,2000
Fabián Bielinsky,7.9,0
Steven Spielberg,7.9,34000
Christophe Barratier,7.9,0
Edward Zwick,7.9,0
Spike Lee,7.9,0
Cristian Mungiu,7.9,14000
Alfonso Cuarón,7.9,17000
Brian De Palma,7.9,0
Andrew Adamson,7.9,0
Fred Zinnemann,7.9,2000
Pierre Morel,7.9,29000
Francis Ford Coppola,7.9,6000
Paul Haggis,7.9,18000
Duncan Jones,7.9,47000
Stéphane Aubier,7.9,0
Dan Gilroy,7.9,65000
,7.9,0.0
,7.9,0.0
F. Gary Gray,7.9,76000
Paul Haggis,7.9,18000
Quentin Tarantino,7.9,114000
Lukas Moodysson,7.9,0
,7.9,3000.0
Doug Liman,7.9,0
Yimou Zhang,7.9,0
Michael Haneke,7.9,33000
Troy Duffy,7.9,16000
Michael Mann,7.9,0
,7.9,11000.0
John Landis,7.9,14000
James Mangold,7.9,11000
Anna Muylaert,7.9,0
Martin Ritt,7.9,1000
Philip Kaufman,7.9,0
Stacy Peralta,7.9,0
,7.9,2000.0
John Frankenheimer,7.9,0
Cameron Crowe,7.9,15000
Clint Eastwood,7.9,5000
Nick Cassavetes,7.9,57000
Robert Kenner,7.9,37000
,7.9,3000.0
Darren Aronofsky,7.9,10000
James Cameron,7.9,33000
,7.9,733.0
Yimou Zhang,7.9,0
Dave Carroll,7.9,33
Peter Jackson,7.9,83000
Tim Burton,7.9,0
Don Hall,7.9,41000
John Lasseter,7.9,0
George Cukor,7.9,0
John Carpenter,7.9,12000
John Carpenter,7.9,12000
Edgar Wright,7.9,17000
Jon Favreau,7.9,10000
Paul Thomas Anderson,7.9,0
John Carpenter,7.9,12000
Ang Lee,7.9,0
Tim Burton,7.9,16000
John Carney,7.9,26000
Edward Zwick,7.9,0
James Ivory,7.9,0
Dean DeBlois,7.9,46000
Doug Liman,7.9,77000
Roger Donaldson,7.9,11000
Peter Jackson,7.9,166000
,7.8,1000.0
John Ford,7.8,0
Howard Hawks,7.8,0
Deepa Mehta,7.8,0
James Wan,7.8,40000
Kenneth Branagh,7.8,0
Todd Solondz,7.8,0
Michael Haneke,7.8,0
Steven Spielberg,7.8,6000
Mel Stuart,7.8,0
Alexander Payne,7.8,28000
Richard Curtis,7.8,105000
Deepa Mehta,7.8,522
Trey Parker,7.8,0
Alejandro G. Iñárritu,7.8,114000
Adam McKay,7.8,99000
Andrew Niccol,7.8,17000
Todd Phillips,7.8,24000
Guy Hamilton,7.8,0
Jacques Perrin,7.8,0
Christian Carion,7.8,11000
Nicolas Winding Refn,7.8,81000
Paul Verhoeven,7.8,0
Paul McGuigan,7.8,10000
John Cameron Mitchell,7.8,0
Mark Osborne,7.8,31000
Josh Boone,7.8,93000
Justin Tipping,7.8,240
Ridley Scott,7.8,0
Robert Zemeckis,7.8,12000
David Fincher,7.8,25000
Mel Brooks,7.8,12000
John Singleton,7.8,0
Alfonso Cuarón,7.8,11000
Sam Martin,7.8,53
James Algar,7.8,3000
Boaz Yakin,7.8,0
William Friedkin,7.8,0
Ralph Ziman,7.8,1000
J.J. Abrams,7.8,92000
Robert Redford,7.8,0
Robert Stevenson,7.8,0
Mike Newell,7.8,0
Wes Anderson,7.8,71000
Sidney Lumet,7.8,0
Kenneth Branagh,7.8,0
Shona Auerbach,7.8,2000
Kevin Smith,7.8,0
Mike Judge,7.8,16000
Mel Gibson,7.8,14000
Ken Annakin,7.8,0
Mike van Diem,7.8,689
Henry Alex Rubin,7.8,0
James Marsh,7.8,0
James Mangold,7.8,0
Sofia Coppola,7.8,17000
Michael Mann,7.8,0
James Ivory,7.8,963
Joe Wright,7.8,12000
Phil Lord,7.8,64000
William Friedkin,7.8,0
Lasse Hallström,7.8,14000
Sam Mendes,7.8,80000
Fred Zinnemann,7.8,0
Ritesh Batra,7.8,16000
,7.8,361.0
Tom Tykwer,7.8,0
Alfonso Cuarón,7.8,147000
Giuseppe Tornatore,7.8,31000
Wes Anderson,7.8,15000
Sylvain Chomet,7.8,0
David Fincher,7.8,23000
Mark Sandrich,7.8,1000
,7.8,14000.0
David Fincher,7.8,54000
Mark Herman,7.8,38000
Paul Greengrass,7.8,0
Steven Soderbergh,7.8,0
Rich Moore,7.8,40000
,7.8,0.0
Jon Favreau,7.8,65000
John Cromwell,7.8,337
Anthony Vallone,7.8,4
Nathan Greno,7.8,29000
James Foley,7.8,0
Sam Mendes,7.8,80000
David O. Russell,7.8,117000
Stephen Chow,7.8,0
Bernardo Bertolucci,7.8,0
James Schamus,7.8,599
Andrew Davis,7.8,0
Joel Coen,7.8,16000
Clint Eastwood,7.8,14000
Bob Fosse,7.8,0
Jon Favreau,7.8,65000
Marc Forster,7.8,0
Jim Abrahams,7.8,16000
George P. Cosmatos,7.8,11000
John McTiernan,7.8,13000
Sam Raimi,7.8,0
Paul McGuigan,7.8,10000
Anthony Russo,7.8,55000
Spike Jonze,7.8,0
Howard Hughes,7.8,279
Joe Wright,7.8,17000
Matthew Vaughn,7.8,54000
Matthew Vaughn,7.7,15000
Paul Greengrass,7.7,0
Woody Allen,7.7,78000
Kevin Macdonald,7.7,0
Jorge Ramírez Suárez,7.7,0
Gabriele Muccino,7.7,26000
Ben Affleck,7.7,89000
,7.7,0.0
Hong-jin Na,7.7,0
Spike Jonze,7.7,0
Alex Proyas,7.7,14000
Caroline Link,7.7,802
Taylor Hackford,7.7,0
Anton Corbijn,7.7,13000
Mike Leigh,7.7,0
Philip Saville,7.7,0
Zack Snyder,7.7,18000
Lloyd Bacon,7.7,439
Stacy Peralta,7.7,0
Alex Garland,7.7,109000
Eric Bress,7.7,15000
Kenneth Branagh,7.7,0
Ang Lee,7.7,13000
Robert Greenwald,7.7,274
,7.7,0.0
Ruben Fleischer,7.7,26000
Zack Snyder,7.7,13000
Marc Webb,7.7,40000
,7.7,2000.0
Kevin Reynolds,7.7,0
Stephen Frears,7.7,0
Wes Anderson,7.7,5000
Jean-Luc Godard,7.7,2000
Steven Spielberg,7.7,0
Ted Kotcheff,7.7,0
Stanley Kubrick,7.7,0
Spike Lee,7.7,0
Ang Lee,7.7,0
François Girard,7.7,0
Shane Meadows,7.7,484
James L. Brooks,7.7,11000
Terry Gilliam,7.7,15000
Hayao Miyazaki,7.7,0
Pierre Coffin,7.7,31000
Tony Scott,7.7,14000
Larry Charles,7.7,24000
Henry Selick,7.7,10000
Scott Smith,7.7,84
David Fincher,7.7,12000
Shane Meadows,7.7,11000
Chan-wook Park,7.7,4000
Jonathan Demme,7.7,0
Wolfgang Becker,7.7,11000
Rob Reiner,7.7,14000
Fernando León de Aranoa,7.7,0
Orson Welles,7.7,0
Stephen Frears,7.7,0
Robert Zemeckis,7.7,23000
Edward Zwick,7.7,0
Richard Lester,7.7,0
James Marsh,7.7,90000
Alex Gibney,7.7,0
Ricki Stern,7.7,246
Hao Ning,7.7,23
Matthew Vaughn,7.7,36000
,7.7,0.0
David Cronenberg,7.7,0
Steven Spielberg,7.7,0
Ethan Coen,7.7,36000
David Ayer,7.7,38000
Ridley Scott,7.7,10000
Tom McCarthy,7.7,0
Alfonso Cuarón,7.7,0
James Wan,7.7,0
Atom Egoyan,7.7,920
Jonathan Levine,7.7,40000
John Lee Hancock,7.7,38000
Antoine Fuqua,7.7,0
,7.7,0.0
Alejandro G. Iñárritu,7.7,0
James Cameron,7.7,26000
Chris Paine,7.7,0
Kenneth Lonergan,7.7,756
Sam Mendes,7.7,0
Andrew Haigh,7.7,0
Johanna Schwartz,7.7,34
Denys Arcand,7.7,0
Ron Howard,7.7,0
Woody Allen,7.7,0
Richard Curtis,7.7,52000
Brian Henson,7.7,0
William Friedkin,7.7,0
,7.7,963.0
Shane Meadows,7.7,0
Scott Hicks,7.7,0
Brad Anderson,7.7,21000
Stanley Kubrick,7.7,0
Luc Besson,7.7,18000
Ted Kotcheff,7.7,0
James Frawley,7.7,0
Jean-Pierre Jeunet,7.7,0
William Cottrell,7.7,0
Nicholas Meyer,7.7,0
Chuan Lu,7.7,0
Spike Lee,7.7,0
Richard Linklater,7.7,10000
Tomm Moore,7.7,11000
Ron Maxwell,7.7,0
Lisanne Pajot,7.7,0
Paolo Sorrentino,7.7,29000
Charles Binamé,7.7,520
Stephen Daldry,7.7,0
Ryan Coogler,7.7,70000
David Fincher,7.7,74000
Kimberly Peirce,7.6,0
Vadim Perelman,7.6,0
John Landis,7.6,0
J.A. Bayona,7.6,54000
Stephen Daldry,7.6,15000
Kevin Jordan,7.6,0
Tom Hooper,7.6,0
Luc Jacquet,7.6,0
Chris Buck,7.6,58000
Matt Reeves,7.6,45000
Francis Lawrence,7.6,82000
Jane Campion,7.6,0
Neil Burger,7.6,15000
Rob Reiner,7.6,0
Neil Burger,7.6,15000
Christopher Guest,7.6,0
Chia-Liang Liu,7.6,0
Mary Harron,7.6,18000
George Miller,7.6,0
Mike Newell,7.6,0
Martin Scorsese,7.6,0
Alex Proyas,7.6,15000
Tom Ford,7.6,16000
Spike Lee,7.6,0
Paul Greengrass,7.6,0
Mike Figgis,7.6,0
Terrence Malick,7.6,0
Mike Leigh,7.6,484
Baz Luhrmann,7.6,10000
Jason Reitman,7.6,0
Alejandro Amenábar,7.6,20000
Jason Miller,7.6,82
Norman Jewison,7.6,0
Niki Caro,7.6,0
Thea Sharrock,7.6,51000
Neil Jordan,7.6,11000
Mira Nair,7.6,0
Ben Affleck,7.6,29000
Greg Mottola,7.6,0
Francis Ford Coppola,7.6,0
Jessie Nelson,7.6,15000
,7.6,450.0
Richard Donner,7.6,7000
Joe Cross,7.6,10000
Brian Percival,7.6,53000
Petter Næss,7.6,0
Danny Boyle,7.6,11000
Mark Osborne,7.6,6000
Tim Burton,7.6,12000
Bennett Miller,7.6,27000
Michael Mann,7.6,0
Dennis Gansel,7.6,25000
Stanley Kramer,7.6,0
Pedro Almodóvar,7.6,0
Joshua Tickell,7.6,588
Danny Boyle,7.6,63000
Isabel Coixet,7.6,0
Alice Wu,7.6,774
Don Siegel,7.6,0
Zach Braff,7.6,0
Robert Rodriguez,7.6,0
Fred Zinnemann,7.6,930
Morten Tyldum,7.6,23000
Peter H. Hunt,7.6,0
Kathryn Bigelow,7.6,16000
Yimou Zhang,7.6,13000
Marc Forster,7.6,13000
Barry W. Blaustein,7.6,491
Marc Forster,7.6,0
Sam Raimi,7.6,12000
,7.6,12000.0
George Lucas,7.6,10000
Tim Robbins,7.6,0
Gareth Evans,7.6,51000
Dror Moreh,7.6,0
Clint Eastwood,7.6,0
Martin Brest,7.6,0
John McTiernan,7.6,0
Stephen Daldry,7.6,0
Denzel Washington,7.6,0
Tim McCanlies,7.6,0
Steven Soderbergh,7.6,0
Steven Spielberg,7.6,55000
,7.6,0.0
Sam Raimi,7.6,10000
Ted Demme,7.6,13000
Kay Pollak,7.6,0
Eli Craig,7.6,49000
James Cameron,7.6,0
Stephen Frears,7.6,10000
Alfred Hitchcock,7.6,0
Gus Van Sant,7.6,10000
Andrew Niccol,7.6,10000
,7.6,0.0
Wes Anderson,7.6,0
Denis Villeneuve,7.6,59000
David Ayer,7.6,82000
John Sayles,7.6,0
Anthony Powell,7.6,0
Steven Spielberg,7.6,0
Jerome Robbins,7.6,0
Tom Hooper,7.6,144000
Todd Field,7.6,5000
Pan Nalin,7.6,379
Steven Spielberg,7.6,0
Jonathan Frakes,7.6,3000
John McTiernan,7.6,0
Guy Ritchie,7.6,20000
Peter Berg,7.6,58000
Chris Wedge,7.6,3000
Eugenio Derbez,7.6,14000
Rob Reiner,7.6,0
Richard Donner,7.6,7000
Terry Gilliam,7.6,12000
Jaime Zevallos,7.6,132
Yimou Zhang,7.6,0
Stephen Frears,7.6,37000
Jean-Jacques Annaud,7.6,0
Shane Black,7.6,0
Michael McGowan,7.6,989
Rupert Wyatt,7.6,47000
Ron Howard,7.6,5000
Woody Allen,7.6,0
Giovanni Zelko,7.6,221
Tim Burton,7.5,15000
Quentin Tarantino,7.5,0
Ang Lee,7.5,0
Phillip Noyce,7.5,0
Dexter Fletcher,7.5,15000
James Wan,7.5,131000
Laurent Cantet,7.5,0
Bill Paxton,7.5,0
Taylor Hackford,7.5,11000
Richard Attenborough,7.5,0
Shimit Amin,7.5,773
,7.5,10000.0
Doug Atchison,7.5,0
Joshua Marston,7.5,0
,7.5,455.0
Irwin Winkler,7.5,0
Andrew Dominik,7.5,0
Pierre Coffin,7.5,56000
Tom Tykwer,7.5,124000
Jafar Panahi,7.5,697
J.A. Bayona,7.5,11000
Greg Tiernan,7.5,13000
Shari Springer Berman,7.5,0
Peter Jackson,7.5,65000
George Lucas,7.5,0
Don Kempf,7.5,407
Joss Whedon,7.5,118000
Tommy Lee Jones,7.5,0
Edgar Wright,7.5,36000
Barry Levinson,7.5,0
Leslie Small,7.5,614
Kevin Costner,7.5,0
George Clooney,7.5,0
Aleksandr Veledinskiy,7.5,282
,7.5,576.0
Andrucha Waddington,7.5,385
Tony Bancroft,7.5,12000
Jason Reitman,7.5,10000
Ryan Coogler,7.5,17000
,7.5,32000.0
Fernando Meirelles,7.5,0
Gilles Paquet-Brenner,7.5,0
Mike Binder,7.5,0
David Yates,7.5,10000
Albert Hughes,7.5,0
Marilyn Agrelo,7.5,588
Jason Reitman,7.5,10000
Tobe Hooper,7.5,0
James Ivory,7.5,788
Woody Allen,7.5,979
David Yates,7.5,0
Davis Guggenheim,7.5,0
Gavin O'Connor,7.5,0
Michael Moore,7.5,667
Lynne Ramsay,7.5,38000
Richard Fleischer,7.5,0
Norman Ferguson,7.5,0
Shekhar Kapur,7.5,0
,7.5,0.0
Bill Condon,7.5,0
Kirsten Sheridan,7.5,18000
Martin Scorsese,7.5,0
Alfred Hitchcock,7.5,0
Richard Glatzer,7.5,45000
Richard LaGravenese,7.5,10000
Kar-Wai Wong,7.5,0
Justin Dillon,7.5,26
Oliver Stone,7.5,1000
John Curran,7.5,0
Warren Beatty,7.5,0
John Landis,7.5,0
William H. Macy,7.5,0
,7.5,0.0
Charlie Kaufman,7.5,13000
Todd Field,7.5,951
Alejandro G. Iñárritu,7.5,0
Alexander Payne,7.5,0
Whit Stillman,7.5,865
,7.5,634.0
Steve Box,7.5,0
Ava DuVernay,7.5,22000
Tom Putnam,7.5,801
Alejandro G. Iñárritu,7.5,29000
,7.5,14000.0
Todd Solondz,7.5,0
Paul Verhoeven,7.5,0
Terence Young,7.5,0
Richard Loncraine,7.5,0
Doug Block,7.5,70
John Patrick Shanley,7.5,0
Jaume Balagueró,7.5,15000
Dexter Fletcher,7.5,15000
Wes Craven,7.5,10000
Christopher Guest,7.5,0
Kriv Stenders,7.5,10000
David Gordon Green,7.5,451
,7.5,0.0
,7.5,915.0
Edward Zwick,7.5,11000
Tobe Hooper,7.5,0
Khyentse Norbu,7.5,353
Chris Columbus,7.5,20000
Martin Scorsese,7.5,0
Florence Ayisi,7.5,50
Justin Lin,7.5,30000
Alan Parker,7.5,0
Francis Ford Coppola,7.5,14000
John Lee Hancock,7.5,39000
Wes Craven,7.5,10000
Tom Tykwer,7.5,26000
Michael Moore,7.5,0
Patrick Gilles,7.5,337
Akira Kurosawa,7.5,355
Bryan Singer,7.5,0
,7.5,634.0
Tay Garnett,7.5,68
Timothy Hines,7.5,26000
Kurt Wimmer,7.5,20000
Marco Kreuzpaintner,7.5,0
Chris Columbus,7.5,16000
Martin Scorsese,7.5,42000
Duncan Jones,7.5,56000
Michael Apted,7.5,0
Jim Jarmusch,7.5,0
Matt Birch,7.5,40
Errol Morris,7.5,489
Antoine Fuqua,7.5,44000
Vincent Gallo,7.5,0
John Crowley,7.5,36000
Clint Eastwood,7.5,0
Paul Verhoeven,7.5,0
Sam Raimi,7.5,0
Carol Reed,7.5,0
,7.5,0.0
David Cronenberg,7.5,0
Jonathan Lynn,7.5,7000
Darren Aronofsky,7.5,24000
Brian Helgeland,7.5,28000
Ken Loach,7.5,0
Guy Ritchie,7.5,39000
Lana Wachowski,7.4,2000
Raymond De Felitta,7.4,0
Julie Taymor,7.4,14000
Bennett Miller,7.4,0
Jeff Nichols,7.4,14000
John Hillcoat,7.4,0
Gaspar Noé,7.4,13000
Sam Peckinpah,7.4,0
Kiyoshi Kurosawa,7.4,817
Jirí Menzel,7.4,1000
David Dobkin,7.4,47000
Martin Scorsese,7.4,0
Jim Chuchu,7.4,45
John Huston,7.4,0
Peter Jackson,7.4,0
Joel Schumacher,7.4,0
Michael Bay,7.4,44000
John Huston,7.4,0
,7.4,0.0
Robert C. Cooper,7.4,389
Rob Reiner,7.4,22000
Woody Allen,7.4,0
Feroz Abbas Khan,7.4,133
,7.4,301.0
Iain Softley,7.4,0
Kevin Smith,7.4,0
Glenn Ficarra,7.4,44000
Matthew Vaughn,7.4,0
Frank Oz,7.4,0
Patrick Meaney,7.4,83
Fred Zinnemann,7.4,733
Michael Moore,7.4,10000
Robert Zemeckis,7.4,0
Uli Edel,7.4,0
Richard Curtis,7.4,21000
Mike Leigh,7.4,608
Alejandro Monteverde,7.4,15000
Terry Zwigoff,7.4,5000
Nat Faxon,7.4,22000
Harold Ramis,7.4,0
Lars von Trier,7.4,1000
Dan Curtis,7.4,515
Jeff Nichols,7.4,27000
Miranda July,7.4,0
Elia Kazan,7.4,0
Stephen Frears,7.4,0
Julie Taymor,7.4,14000
Léa Pool,7.4,5000
Siddiq Barmak,7.4,0
Oliver Stone,7.4,0
Patrick Creadon,7.4,694
Steven Spielberg,7.4,44000
Peter Weir,7.4,0
,7.4,763.0
Wayne Kramer,7.4,0
Peyton Reed,7.4,61000
Derek Cianfrance,7.4,25000
Duncan Tucker,7.4,0
Zack Snyder,7.4,7000
Niki Caro,7.4,21000
Robert Zemeckis,7.4,24000
Curtis Hanson,7.4,0
Peter Weir,7.4,0
Harold Ramis,7.4,0
Morgan Neville,7.4,14000
Craig Gillespie,7.4,19000
Hao Ning,7.4,30
Clint Eastwood,7.4,23000
Theodore Witcher,7.4,1000
